GENEID	GENENAME	GENEDESCRP	METABOLIC
YPR199C	ARR1	ARsenicals Resistance	NA
YPR200C	ARR2	ARsenicals Resistance	NA
YPR201W	ARR3	ARsenicals Resistance	NA
YLR392C	ART10	Arrestin-Related Trafficking adaptors	NA
YGR068C	ART5	Arrestin-Related Trafficking adaptors	NA
YLR242C	ARV1	ARE2 Required for Viability	NA
YDR101C	ARX1	Associated with Ribosomal eXport complex	NA
YPR085C	ASA1	AStra Associated protein	NA
YMR116C	ASC1	Absence of growth Suppressor of Cyp1	NA
YOR058C	ASE1	Anaphase Spindle Elongation	NA
YJL115W	ASF1	Anti-Silencing Function	NA
YDL197C	ASF2	Anti-Silencing Function	NA
YIL130W	ASG1	Activator of Stress Genes	NA
YJL170C	ASG7	a-Specific Gene	NA
YKL185W	ASH1	Asymmetric Synthesis of HO	NA
YMR119W	ASI1	Amino acid Sensor-Independent	NA
YNL159C	ASI2	Amino acid Sensor-Independent	NA
YNL008C	ASI3	Amino acid Sensor-Independent	NA
YKL052C	ASK1	Associated with Spindles and Kinetochores	NA
YGR097W	ASK10	Activator of SKn7	NA
YDL088C	ASM4	Anti-Suppressor in Multicopy	NA
YPR145W	ASN1	ASparagiNe requiring	Yeast7.6
YGR124W	ASN2	ASparagiNe requiring	Yeast7.6
YDR321W	ASP1	ASParaginase	Yeast7.6
YLR155C	ASP3-1	ASParaginase	Yeast7.6
YLR157C	ASP3-2	ASParaginase	Yeast7.6
YLR158C	ASP3-3	ASParaginase	Yeast7.6
YLR160C	ASP3-4	ASParaginase	Yeast7.6
YPR093C	ASR1	Alcohol Sensitive Ring/PHD finger	NA
YBL069W	AST1	ATPase STabilizing	NA
YER101C	AST2	ATPase STabilizing	NA
YDR184C	ATC1	Aip Three Complex	NA
YGL017W	ATE1	Arginyl-tRNA-protein transfErase	NA
YOR377W	ATF1	AcetylTransFerase	Yeast7.6
YGR177C	ATF2	AcetylTransFerase	Yeast7.6
YGL180W	ATG1	AuTophaGy related	NA
YLL042C	ATG10	AuTophaGy related	NA
YPR049C	ATG11	AuTophaGy related	NA
YBR217W	ATG12	AuTophaGy related	NA
YPR185W	ATG13	AuTophaGy related	NA
YBR128C	ATG14	AuTophaGy related	NA
YCR068W	ATG15	AuTophaGy related	NA
YMR159C	ATG16	AuTophaGy related	NA
YLR423C	ATG17	AuTophaGy related	NA
YFR021W	ATG18	AuTophaGy related	NA
YOL082W	ATG19	AuTophaGy related	NA
YNL242W	ATG2	AuTophaGy related	NA
YDL113C	ATG20	AuTophaGy related	NA
YPL100W	ATG21	AuTophaGy related	NA
YCL038C	ATG22	AuTophaGy related	Yeast7.6
YLR431C	ATG23	AuTophaGy related	NA
YLR189C	ATG26	AuTophaGy related	Yeast7.6
YJL178C	ATG27	AuTophaGy related	NA
YPL166W	ATG29	AuTophaGy related	NA
YNR007C	ATG3	AuTophaGy related	NA
YDR022C	ATG31	AuTophaGy related	NA
YIL146C	ATG32	AuTophaGy related	NA
YLR356W	ATG33	AuTophaGy related	NA
YOL083W	ATG34	AuTophaGy related	NA
YJL185C	ATG36	AuTophaGy related	NA
YLR211C	ATG38	AuTophaGy related	NA
YLR312C	ATG39	AuTophaGy related	NA
YNL223W	ATG4	AuTophaGy related	NA
YOR152C	ATG40	AuTophaGy related	NA
YPL250C	ATG41	AuTophaGy related	NA
YPL149W	ATG5	AuTophaGy related	NA
YHR171W	ATG7	AuTophaGy related	NA
YBL078C	ATG8	AuTophaGy related	NA
YDL149W	ATG9	AuTophaGy related	NA
YPR026W	ATH1	Acid TreHalase	Yeast7.6
YMR301C	ATM1	"ABC Transporter, Mitochondrial"	NA
YNR002C	ATO2	Ammonia (Ammonium) Transport Outward	NA
YDR384C	ATO3	Ammonia (Ammonium) Transport Outward	Yeast7.6
YBL099W	ATP1	ATP synthase	Yeast7.6
YLR393W	ATP10	ATP synthase	NA
YNL315C	ATP11	ATP synthase	NA
YJL180C	ATP12	ATP synthase	NA
YLR295C	ATP14	ATP synthase	Yeast7.6
YPL271W	ATP15	ATP synthase	Yeast7.6
YDL004W	ATP16	ATP synthase	Yeast7.6
YDR377W	ATP17	ATP synthase	Yeast7.6
YML081C-A	ATP18	ATP synthase	Yeast7.6
YOL077W-A	ATP19	ATP synthase	NA
YJR121W	ATP2	ATP synthase	Yeast7.6
YPR020W	ATP20	ATP synthase	Yeast7.6
YDR350C	ATP22	ATPase synthase	NA
YNR020C	ATP23		NA
YMR098C	ATP25	ATPase	NA
YBR039W	ATP3	ATP synthase	Yeast7.6
YPL078C	ATP4	ATP synthase	Yeast7.6
YDR298C	ATP5	ATP synthase	Yeast7.6
Q0085	ATP6	ATP synthase	Yeast7.6
YKL016C	ATP7	ATP synthase	Yeast7.6
Q0080	ATP8	ATP synthase	Yeast7.6
YML116W	ATR1	AminoTriazole Resistance	NA
YAL020C	ATS1	Alpha Tubulin Suppressor	NA
YNL259C	ATX1	AnTioXidant	NA
YOR079C	ATX2	AnTioXidant	NA
YFL010W-A	AUA1	Amino acid Uptake Activation	NA
YKL004W	AUR1	AUreobasidin A Resistance	Yeast7.6
YOR011W	AUS1	ABC protein involved in Uptake of Sterols	Yeast7.6
YLR114C	AVL9	Apl2 Vps1 Lethal	NA
YOL078W	AVO1	Adheres VOraciously (to TOR2)	NA
YMR068W	AVO2	Adheres VOraciously (to TOR2)	NA
YJR001W	AVT1	Amino acid Vacuolar Transport	Yeast7.6
YEL064C	AVT2	Amino acid Vacuolar Transport	NA
YKL146W	AVT3	Amino acid Vacuolar Transport	Yeast7.6
YNL101W	AVT4	Amino acid Vacuolar Transport	Yeast7.6
YBL089W	AVT5	Amino acid Vacuolar Transport	NA
YER119C	AVT6	Amino acid Vacuolar Transport	Yeast7.6
YIL088C	AVT7	Amino acid Vacuolar Transport	NA
YPR122W	AXL1	AXiaL budding	NA
YIL140W	AXL2	AXiaL 2 bud site selection	NA
YIL124W	AYR1	1-AcyldihYdroxyacetone-phosphate Reductase	Yeast7.6
YLL063C	AYT1	AcetYlTransferase	NA
YOR113W	AZF1	Asparagine-rich Zinc-Finger	NA
YGR224W	AZR1	Acetic Acid and AZoles Resistance	NA
YOR134W	BAG7		NA
YBR068C	BAP2	Branched-chain Amino acid Permease	Yeast7.6
YDR046C	BAP3	Branched-chain Amino acid Permease	Yeast7.6
YIL015W	BAR1	BARrier to the alpha factor response	NA
YKR099W	BAS1	BASal	NA
YHR208W	BAT1	Branched-chain Amino acid Transaminase	Yeast7.6
YJR148W	BAT2	Branched-chain Amino acid Transaminase	Yeast7.6
YJL020C	BBC1	Bni1 synthetic lethal and Bee1 (las17) Complex member	NA
YPL255W	BBP1	Bfr1 Binding Protein	NA
YHR040W	BCD1	Box C/D snoRNA accumulation	NA
YMR237W	BCH1	Bud7 and Chs6 Homolog	NA
YKR027W	BCH2	Bud7 and Chs6 Homolog	NA
YJL095W	BCK1	Bypass of C Kinase	NA
YER167W	BCK2	Bypass of C Kinase	NA
YDR361C	BCP1		NA
YDR375C	BCS1	ubiquinol-cytochrome c reductase (bc1) Synthesis	NA
YIL033C	BCY1	Bypass of CYclic-AMP requirement	NA
YLR399C	BDF1	BromoDomain Factor	NA
YDL070W	BDF2	BromoDomain Factor	NA
YAL060W	BDH1	Butanediol DeHydrogenase	Yeast7.6
YAL061W	BDH2		NA
YNL039W	BDP1	B Double Prime	NA
YOL164W	BDS1	Bacterially Derived Sulfatase	NA
YBR200W	BEM1	Bud EMergence	NA
YER155C	BEM2	Bud EMergence	NA
YPL115C	BEM3	Bud EMergence	NA
YPL161C	BEM4	Bud EMergence	NA
YLR412W	BER1	Benomyl REsistant 1	NA
YIL004C	BET1	Blocked Early in Transport	NA
YPR176C	BET2	Blocked Early in Transport	NA
YKR068C	BET3	Blocked Early in Transport	NA
YJL031C	BET4	Blocked Early in Transport	NA
YML077W	BET5	Blocked Early in Transport	NA
YJR053W	BFA1	Byr-Four-Alike	NA
YOR198C	BFR1	BreFeldin A Resistance	NA
YDR299W	BFR2	BreFeldin A Resistance	NA
YGR282C	BGL2	Beta-GLucanase	Yeast7.6
Q0110	BI2		NA
Q0115	BI3		NA
Q0120	BI4		NA
YHR101C	BIG1	Bad In Glucose	NA
YCL029C	BIK1	BIlateral Karyogamy defect	NA
YOR304C-A	BIL1	Bud6-Interacting Ligand	NA
YER016W	BIM1	BInding to Microtubules	NA
YGR286C	BIO2	BIOtin	Yeast7.6
YNR058W	BIO3	BIOtin	Yeast7.6
YNR057C	BIO4	BIOtin	Yeast7.6
YNR056C	BIO5	BIOtin	Yeast7.6
YJR089W	BIR1	Baculoviral IAP Repeat-containing protein	NA
YBR270C	BIT2	Binding partner of Tor2p	NA
YJL058C	BIT61	Binding partner of Tor2p	NA
YKL061W	BLI1	BLoc-1 Interactor	NA
YFL007W	BLM10	BLeoMycin resistance	NA
YLR408C	BLS1	BLoS1-homolog	NA
YER177W	BMH1	Brain Modulosignalin Homolog	NA
YDR099W	BMH2	Brain Modulosignalin Homolog	NA
YPL217C	BMS1	BMh Sensitive	NA
YBR141C	BMT2	Base MethylTransferase of 25S RNA	NA
YIL096C	BMT5	Base Methyltransferase of Twenty five S rRNA 5	NA
YLR063W	BMT6	Base Methyltransferase of Twenty five S rRNA 6	NA
YJR025C	BNA1	Biosynthesis of Nicotinic Acid	Yeast7.6
YJR078W	BNA2	Biosynthesis of Nicotinic Acid	Yeast7.6
YJL060W	BNA3	Biosynthesis of Nicotinic Acid	Yeast7.6
YBL098W	BNA4	Biosynthesis of Nicotinic Acid	Yeast7.6
YLR231C	BNA5	Biosynthesis of Nicotinic Acid	Yeast7.6
YFR047C	BNA6	Biosynthesis of Nicotinic Acid	Yeast7.6
YDR428C	BNA7	Biosynthesis of NAD	Yeast7.6
YNL271C	BNI1	Bud Neck Involved	NA
YNL233W	BNI4	Bud Neck Involved	NA
YNL166C	BNI5	Bud Neck Involved	NA
YIL159W	BNR1	BNi1 Related	NA
YGR230W	BNS1	Bypasses Need for Spo12p	NA
YBL085W	BOI1	Bem1 (One) Interacting protein	NA
YER114C	BOI2	Bem1 (One) Interacting protein	NA
YAL044W-A	BOL1	BolA-like protein	NA
YGL220W	BOL2	BolA-like protein	NA
YAL046C	BOL3	BolA-like protein	NA
YLR267W	BOP2	Bypass Of Pam1	NA
YNL042W	BOP3	Bypass Of Pam1	NA
YNL275W	BOR1	BORon transporter	NA
YLR078C	BOS1	Bet One Suppressor	NA
YCR032W	BPH1	Beige Protein Homolog	NA
YDL141W	BPL1	Biotin:apoProtein Ligase	Yeast7.6
YLL015W	BPT1	Bile Pigment Transporter	Yeast7.6
YDL074C	BRE1	BREfeldin A sensitivity	NA
YLR015W	BRE2	BREfeldin A sensitivity	NA
YDL231C	BRE4	BREfeldin A sensitivity	NA
YNR051C	BRE5	BREfeldin A sensitivity	NA
YGR246C	BRF1	B-Related Factor	NA
YHR036W	BRL1	BRr6 Like protein	NA
YBL097W	BRN1	homolog of BaRreN	NA
YPL084W	BRO1	BCK1-like Resistance to Osmotic shock	NA
YGL007W	BRP1		NA
YPR057W	BRR1	Bad Response to Refrigeration	NA
YER172C	BRR2	Bad Response to Refrigeration	NA
YGL247W	BRR6	Bad Response to Refrigeration	NA
YOL077C	BRX1	Xenopus laevis Brix (Biogenesis of Ribosomes in Xenopus) homolog	NA
YDL037C	BSC1	Bypass of Stop Codon	NA
YDR275W	BSC2	Bypass of Stop Codon	NA
YLR465C	BSC3	Bypass of Stop Codon	NA
YNL269W	BSC4	Bypass of Stop Codon	NA
YNR069C	BSC5	Bypass of Stop Codon	NA
YOL137W	BSC6	Bypass of Stop Codon	NA
YBR290W	BSD2	Bypass Sod1p Defects	NA
YPR171W	BSP1	Binding protein of Synaptojanin Polyphosphoinositide phosphatase domain	NA
YFL025C	BST1	Bypass of Sec Thirteen	NA
YGR142W	BTN2	BaTteN disease	NA
YPL069C	BTS1	Bet Two Suppressor	Yeast7.6
YDR252W	BTT1	BTf Three	NA
YGR188C	BUB1	Budding Uninhibited by Benzimidazole	NA
YMR055C	BUB2	Budding Uninhibited by Benzimidazole	NA
YOR026W	BUB3	Budding Uninhibited by Benzimidazole	NA
YGL174W	BUD13	BUD site selection	NA
YAR014C	BUD14	BUD site selection	NA
YEL029C	BUD16	BUD site selection	Yeast7.6
YNR027W	BUD17	BUD site selection	NA
YJL188C	BUD19	BUD site selection	NA
YKL092C	BUD2	BUD site selection	NA
YLR074C	BUD20	BUD site selection	NA
YOR078W	BUD21	BUD site selection	NA
YMR014W	BUD22	BUD site selection	NA
YCR047C	BUD23	BUD site selection	NA
